serial,latitude,longitude,height,type
1,46.68106661,7.66531348,680.9232,SBS-3
2,40.337042,-3.770206,735.7872,SBS-3
3,0,0,0,SBS-3
4,47.143056,7.243889,550.164,SBS-3
5,52.356455,4.952216,0,dump1090
6,47.1742,8.5247,0,Radarcape
7,38.898671,22.430724,60.0456,Radarcape
8,47.849913,12.1293481,137.16,SBS-3
9,45.4109439,11.8875289,0,Radarcape
10,47.40017,8.63068,430.6824,Radarcape
11,39.3910108,-3.20455479999998,644.9568,dump1090
12,39.296213,-9.234175,161.8488,dump1090
13,50.862327,4.685708,19.812,Radarcape
14,47.2482931862621,8.52975659072399,625.1448,Radarcape
15,50.2273150940818,8.67877475917339,145.3896,dump1090
16,50.2272572351871,8.67884382605553,146.304,dump1090
17,53.5100248038292,10.2067333459854,37.1856,dump1090
18,47.0559,8.48391,1780.9464,Radarcape
19,50.9396328,3.97206700000004,19.812,dump1090
20,48.846,1.89997,33.8328,Radarcape
21,57.6619786730961,11.8714141845703,23.4696,dump1090
22,46.9220007,7.4275652,2229.0024,dump1090
23,52.4730412,4.74947380000003,29.2608,dump1090
24,40.92967952131,9.55643177032471,1099.1088,dump1090
25,59.2144014183448,24.6899700164795,46.9392,dump1090
26,48.9964380649323,14.39208984375,391.0584,dump1090
27,49.40854,6.95026000000007,0,SBS-3
28,50.1413621,14.5081886,224.028,dump1090
29,42.1687332,12.7861642,383.7432,SBS-3
30,41.0937432,16.8474668,36.8808,dump1090
31,49.4250622772787,7.75334492325783,269.4432,SBS-3
32,53.8012346,12.1961011,14.9352,dump1090
33,43.6067851753749,12.2124624252319,1043.0256,dump1090
34,52.994354,-0.406664699999965,17.3736,dump1090
35,40.1568940998696,8.61647844314575,92.964,dump1090
36,39.3587468956085,9.2944972962141,68.2752,dump1090
37,43.6827527334276,6.94982014596462,478.536,SBS-3
38,40.4415977,-3.79455239999993,667.8168,dump1090
39,44.4752173197364,9.09752190113068,548.64,Radarcape
40,59.62711,17.84323,12.192,dump1090
41,52.3138058,10.5482181,91.44,Asterix
42,48.2669611,10.0523719,500.1768,dump1090
43,47.186923174376,8.47735896706581,428.244,Radarcape
44,46.7625177,7.60049549999997,561.4416,Aero
45,49.4400657,7.74912649999999,254.2032,Radarcape
46,49.448675,7.78596770000002,243.84,dump1090
47,51.790939551616,19.3192327022553,182.88,Radarcape
48,50.8029077478471,7.25832581520081,79.8576,dump1090
49,52.246080311662,-7.13931418955326,139.5984,dump1090
50,54.4798,17.4918,46.6344,Radarcape
51,48.990966,1.71929729999999,29.5656,SBS-3
52,50.0698332725571,8.8945309817791,125.5776,dump1090
53,49.5474888042074,24.0380859375,320.3448,dump1090
54,51.4969291299776,0.0122523307800293,5.4864,dump1090
55,52.2626991283531,13.6197926849127,65.532,dump1090
56,41.9531,21.6229,232.2576,dump1090
57,53.5503541,10.1584406,23.7744,Radarcape
58,41.4753468,14.3248616,1329.5376,dump1090
59,41.7210540273176,13.6168422549963,281.6352,dump1090
60,53.2766789717841,16.4526062607683,110.0328,dump1090
61,63.1288,21.6138,20.1168,dump1090
62,49.4840742467038,7.11173203124997,313.6392,SBS-3
63,46.0261922,8.9184818,299.6184,SBS-3
64,47.2453703099297,5.98745819627357,292.3032,SBS-3
65,49.4254116,7.75331570000003,269.1384,Radarcape
66,49.4254116,7.75331570000003,269.1384,Radarcape
67,51.4693010074338,-1.72127578125003,148.7424,dump1090
68,51.2570092,4.63947469999994,13.4112,dump1090
69,60.1328,15.1615,170.0784,dump1090
70,49.6568,11.0374,299.9232,dump1090
71,37.7795522,-3.80526970000005,524.256,dump1090
72,50.7369875683085,15.1674198879603,512.9784,dump1090
73,47.89355,12.3185,524.8656,dump1090
74,51.24127,6.80169000000001,42.3672,dump1090
75,53.3470658,-3.00972720000004,41.148,dump1090
76,51.2324895157854,7.39378932062391,1.524,Radarcape
77,47.2105635,-1.5650079,10.0584,dump1090
78,33.5731104,-7.5898434,0,dump1090
79,34.0181246,-5.0078451,0,dump1090
80,51.5205853997502,-2.53623141854337,67.6656,dump1090
81,56.4138883278843,-3.03496842912682,17.3736,dump1090
82,55.7081593,21.136114,5.1816,dump1090
83,50.25581,8.67624999999998,237.1344,dump1090
84,48.1870463890592,16.3644874686369,225.552,dump1090
85,42.9004,-1.5432,491.0328,dump1090
86,51.5206,-2.53623,75.8952,dump1090
87,46.17413,-1.38082,8.5344,dump1090
88,52.7064461,5.75912629999993,402.6408,dump1090
89,50.7774641609498,4.95294210430802,286.2072,dump1090
90,52.3809513,-1.55683169999998,79.5528,dump1090
91,50.2596549699069,8.96716724203475,398.3736,dump1090
92,51.5837962681766,5.14058954630025,12.4968,dump1090
93,36.6035244998488,-6.27429238310469,-21.336,dump1090
